"FSC.A","SSC.A","FL1.A","FL2.A","FL3.A","FL4.A","FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL4.H","Width"
-0.490567071684853,-0.270515587561613,-0.295743923602588,-0.38778315949391,-0.536683130127861,-0.799803249831715,-0.54384801367626,-0.258780021866308,-0.251844323665782,-0.496275477108444,-0.673819046208623,-0.889981902751064,-0.402450021605506
0.307552302650462,-0.28568011836956,-0.441138296941858,-0.480381180039129,-0.506825569274803,-0.722529843136968,0.744191371760196,-0.272374957581225,-0.470049592007733,-0.498804439517465,-0.616898557452533,-0.843515888913867,-0.0724189301236544
0.646072757952545,-0.277213117525865,-0.333956547364832,-0.326051145797097,-0.026851194806779,0.280279560517757,1.22737850241996,-0.260859053427837,-0.359268455772589,-0.407761792792684,0.470171168987307,3.41697504649205,0.021875667442589
1.31731476740943,0.643651184892314,1.79383418554256,1.99404370230812,1.17956326871819,0.761618103509871,1.59525909756824,0.854858060810753,2.74092485674729,3.43373210651127,2.47466524361354,1.01549344246164,0.399054057707563
-0.446842492959701,-0.32600704482098,-0.374965216768216,-0.385210992256543,-0.530486277875339,-0.475504210767634,-0.393838857308009,-0.324350746619466,-0.315627402104199,-0.554441612515943,-0.597925061200503,-0.463674664689155,-0.449597320388628
0.00344602145834309,-0.309178171910805,-0.443002327369284,-0.419935249961,-0.511050695810613,-0.693614632889902,0.256556887818918,-0.303045970759329,-0.506976637419448,-0.468456890609205,-0.621920953519247,-0.669083948080577,-0.166713527689898
0.524521453357981,-0.29961735929517,-0.36471304941737,-0.500958517938067,0.0945507743221637,1.48599397400965,1.0146525885512,-0.295402056869741,-0.3424834351309,-0.574673311788116,0.415482856260867,2.28003281903109,0.021875667442589
-0.429933031625854,-0.244912596031603,-0.107476850432508,-0.106130847002202,-0.0288229205234904,0.572921429742377,-0.504610768084267,-0.23177380214859,0.0385365334354301,-0.0435912058935604,-0.0119788534172215,0.372344806492807,-0.213860826473019
-0.540587394494986,-0.246154060580533,-0.0888365461582428,-0.113847348714303,0.0263853995444279,-0.45232218875921,-0.630089664241224,-0.24243384223333,-0.115885656468105,-0.127046965391276,-0.0387649657730287,-0.307312840348109,-0.261008125256141
-0.739718203593825,-0.340260853300456,-0.246347117275785,-0.414790915486266,-0.576680994666863,-0.850903405871789,-0.807582346814614,-0.344401746368035,-0.0823156151847275,-0.529151988425726,-0.796588727839406,-0.984757819863444,-0.968217607002966
