"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
166439,17010,18,0,55,138,122176,17492,25,33,114,105,54,179
162626,198662,52,20,13,243,122026,164360,37,50,47,24,53,184
132246,17775,0,33,0,238,83627,15705,11,51,16,78,55,185
2643012,399071,2811,2134,8352,1929,2155125,441919,2159,1502,7846,1847,80,186
2645515,632566,76,124,109,596,2153855,737383,60,49,116,372,86,190
152061,311247,30,15,293,206,82718,235704,45,88,202,28,61,190
506661,711487,164,24,354,817,190131,258997,146,66,230,376,155,196
164660,12162,19,0,16,256,131497,13082,46,16,67,32,50,196
386880,252026,49,136,100,323,201668,194202,50,83,156,142,83,199
271313,158466,29,28,146,221,160799,123057,43,56,204,12,73,200
188847,545617,39,31,232,347,92764,418338,49,34,250,222,80,201
171357,27327,44,43,89,224,159276,31561,82,37,86,54,45,201
976614,823231,333,232,9235,6196,825363,937545,289,166,6852,8421,73,202
506182,28317,31,109,85,252,487403,35267,44,84,230,26,58,203
1430863,5764232,0,0,301,259,758093,6649838,15,48,198,69,88,204
465906,41766,109,97,253,446,445854,55751,124,171,261,211,57,204
186912,17710,36,94,0,370,182869,25528,48,65,0,137,45,206
171584,12307,40,72,0,251,163337,16319,41,64,5,6,44,208
490138,178374,131,151,342,833,301165,203719,130,127,239,358,75,211
196057,37830,0,24,76,314,163899,42129,23,52,63,59,50,213
119508,10205,0,135,87,257,101587,10882,27,225,24,64,42,214
134775,4774,62,57,161,221,128396,6501,65,40,207,89,42,217
186710,110122,107,58,27,279,121794,98370,103,68,66,100,60,217
86595,6593,0,35,126,397,85013,8477,6,28,107,164,34,218
143409,5432,7,124,0,236,135903,8646,21,76,62,82,42,220
142597,171666,9,15,185,376,95006,152822,40,29,174,98,55,221
3491282,424882,306,163,615,378,2496138,403564,219,153,500,240,93,221
200848,5160,0,31,158,239,112285,4389,63,60,162,18,68,221
129526,146101,0,34,117,200,89296,134516,30,86,103,38,50,222
602878,1442578,726,791,994,5,398986,1105208,420,431,647,81,86,222
145654,227433,79,0,0,276,83165,47487,28,31,44,101,42,222
456759,222726,28,52,22,439,161607,79049,64,65,222,246,152,223
389636,451041,754,116,451,292,141433,195926,240,86,250,202,128,229
188392,40567,34,71,178,300,96911,26530,41,61,248,80,76,232
127058,482865,72,35,50,330,95045,557584,23,54,122,126,50,234
138026,6978,51,72,3,216,133791,10340,52,90,58,5,42,237
208173,56365,84,0,169,247,90218,30114,71,88,131,51,80,239
300801,255369,58,83,44,140,126590,113096,61,75,41,15,108,239
109555,20755,15,13,0,210,90596,24301,60,36,0,0,42,247
132007,80922,0,7,0,294,89831,74156,5,65,19,70,51,252
104416,100884,23,3,71,121,95780,135103,43,111,44,31,38,254
460709,32247,0,3,1,275,361366,31651,33,26,116,65,68,255
296781,53093,0,0,0,371,135728,25706,24,90,61,133,85,263
